Datum;Feiertag
01.01.2014;Neujahr
06.01.2014;Heilige Drei Könige
18.04.2014;Karfreitag
20.04.2014;Ostersonntag
21.04.2014;Ostermontag
01.05.2014;Erster Mai
29.05.2014;Christi Himmelfahrt
08.06.2014;Pfingstsonntag
09.06.2014;Pfingstmontag
19.06.2014;Fronleichnam
03.10.2014;Tag der deutschen Einheit
01.11.2014;Allerheiligen
25.12.2014;1. Weihnachtstag
26.12.2014;2. Weihnachtstag
01.01.2015;Neujahr
06.01.2015;Heilige Drei Könige
03.04.2015;Karfreitag
05.04.2015;Ostersonntag
06.04.2015;Ostermontag
01.05.2015;Erster Mai
14.05.2015;Christi Himmelfahrt
24.05.2015;Pfingstsonntag
25.05.2015;Pfingstmontag
04.06.2015;Fronleichnam
03.10.2015;Tag der deutschen Einheit
01.11.2015;Allerheiligen
25.12.2015;1. Weihnachtstag
26.12.2015;2. Weihnachtstag
01.01.2016;Neujahr
06.01.2016;Heilige Drei Könige
25.03.2016;Karfreitag
27.03.2016;Ostersonntag
28.03.2016;Ostermontag
01.05.2016;Erster Mai
05.05.2016;Christi Himmelfahrt
15.05.2016;Pfingstsonntag
16.05.2016;Pfingstmontag
26.05.2016;Fronleichnam
03.10.2016;Tag der deutschen Einheit
01.11.2016;Allerheiligen
25.12.2016;1. Weihnachtstag
26.12.2016;2. Weihnachtstag
01.01.2017;Neujahr
06.01.2017;Heilige Drei Könige
14.04.2017;Karfreitag
16.04.2017;Ostersonntag
17.04.2017;Ostermontag
01.05.2017;Erster Mai
25.05.2017;Christi Himmelfahrt
04.06.2017;Pfingstsonntag
05.06.2017;Pfingstmontag
15.06.2017;Fronleichnam
31.10.2017;Reformationstag
03.10.2017;Tag der deutschen Einheit
01.11.2017;Allerheiligen
25.12.2017;1. Weihnachtstag
26.12.2017;2. Weihnachtstag
01.01.2018;Neujahr
06.01.2018;Heilige Drei Könige
30.03.2018;Karfreitag
01.04.2018;Ostersonntag
02.04.2018;Ostermontag
01.05.2018;Erster Mai
10.05.2018;Christi Himmelfahrt
20.05.2018;Pfingstsonntag
21.05.2018;Pfingstmontag
31.05.2018;Fronleichnam
03.10.2018;Tag der deutschen Einheit
01.11.2018;Allerheiligen
25.12.2018;1. Weihnachtstag
26.12.2018;2. Weihnachtstag
01.01.2019;Neujahr
06.01.2019;Heilige Drei Könige
19.04.2019;Karfreitag
21.04.2019;Ostersonntag
22.04.2019;Ostermontag
01.05.2019;Erster Mai
30.05.2019;Christi Himmelfahrt
09.06.2019;Pfingstsonntag
10.06.2019;Pfingstmontag
20.06.2019;Fronleichnam
03.10.2019;Tag der deutschen Einheit
01.11.2019;Allerheiligen
25.12.2019;1. Weihnachtstag
26.12.2019;2. Weihnachtstag
